steer_dir, step_count, heading, gyro_x, gyro_y, accel_x, accel_y
0,1137,0.37,-0.19,0.31,0.23,-0.45
0,1139,0.37,-0.19,0.31,0.23,-0.45
0,1141,0.44,0.12,0.81,0.33,-0.67
0,1144,0.44,0.12,0.81,0.33,-0.67
0,1147,0.44,0.44,1.69,0.0,-0.35
0,1149,0.5,0.44,1.69,0.09,-0.4
0,1152,0.5,0.63,1.44,0.09,-0.4
0,1154,0.5,0.94,1.12,0.1,-0.24
0,1156,0.5,0.94,1.12,0.1,-0.24
0,1157,0.5,0.31,0.63,-0.14,-0.2
0,1159,0.5,0.31,0.63,-0.14,-0.2
0,1162,0.5,-0.63,1.19,-0.54,-0.11
0,1164,0.5,-0.63,1.19,-0.54,0.01
0,1167,0.5,-1.12,1.63,-0.54,0.01
0,1170,0.5,-0.06,1.44,-0.35,0.52
